Title,Link,Description
"태양광에 &apos;피눈물&apos; 흘린 농심..전남경찰, 전국 854명·175억 피해 사기단 검거",http://kpenews.com/View.aspx?No=2665196,19일 경찰청에 따르면 지난 18일 전남경찰청 반부패·경제범죄수사1대는 특정경제범죄 가중처벌법상 사기 혐의로 조직책 A 씨 등 13명을 구속해 검찰에 송치했다. A 씨 등은 태양광 발전시설 설치 능력이 없는 업체를... 
“태양광 설치하면 연소득 3000만원”...연로한 농민에게 175억 뜯은 사기단,https://n.news.naver.com/mnews/article/021/0002546959?sid=102,전남경찰청 반부패경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 40대 A 씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. A 씨 일당은... 
태양광 설치 주의보…계약금 175억 가로챈 사기단 검거,https://n.news.naver.com/mnews/article/005/0001574037?sid=102,전남경찰청 반부패경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 또 이들의 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 이들은... 
폭설에 막힌 호남·제주 교통편…피해도 잇따라,https://n.news.naver.com/mnews/article/215/0001072120?sid=102,"전남에서는 여객선 전 항로 운항이 중단됐고, 전북에서도 군산∼어청도와 군산∼석도 등을 오가는 4개... 이에 이 영화관 1층이 한때 통제됐고 경찰이 전문가와 현장을 살펴본 결과 기온이 급격히 떨어져 로비 바닥의... "
총경 승진인사 지연..광주·전남경찰 &apos;뒤숭숭&apos;,https://n.news.naver.com/mnews/article/660/0000024309?sid=102,"예년보다 늦어지고 있는 총경 승진 인사를 앞두고 광주·전남경찰의 분위기가 뒤숭숭합니다. 광주와 전남경찰들은 새 정부 들어 복수직급제 확대와 순경 출신 고위직 비율 확대 등 변수가 많아진데다, 통상 매년 12월... "
호남·제주 폭설에 막힌 하늘·바닷길…사고도 속출(종합2보),https://n.news.naver.com/mnews/article/001/0013648628?sid=102,"전남에서는 여객선 전 항로 운항이 중단됐고, 전북에서도 군산∼어청도와 군산∼석도 등을 오가는 4개... 이에 이 영화관 1층이 한때 통제됐고 경찰이 전문가와 현장을 살펴본 결과 기온이 급격히 떨어져 로비 바닥의... "
전남경찰 &apos;태양광 사기단&apos; 검거..13명 구속,https://mpmbc.co.kr/article/Kl0FpZTMgx7WNp,전남경찰청은 농민들을 상대로 태양광발전시설 설치 사기행각을 벌인 31명을 붙잡아 이가운데 13명을 구속했습니다. 이들은 지난 2020년부터 고령의 농민들에게 접근해 태양광발전시설로 고소득이 보장된다고 속인 뒤... 
태양광 설치 계약금 명목으로 농민 등친 사기단…피해자 854명,https://n.news.naver.com/mnews/article/088/0000789197?sid=102,전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 경찰에 따르면... 
한라산 32㎝ 폭설... 제주 항공편 100편 결항,https://n.news.naver.com/mnews/article/023/0003735305?sid=102,경찰은 “내리막길 도로를 주행하던 차량이 눈길에 미끄러지면서 사고가 난 것으로 보인다”고 했다.... 또 18일 오전 5시 58분쯤 전남 보성군 벌교읍에서 차량이 눈길에 미끄러져 운전자가 부상을 입었다. 전북... 
얼어붙은 대한민국‥폭설에 하늘길 뱃길 막혀,https://n.news.naver.com/mnews/article/214/0001242114?sid=102,"◀ 기자 ▶ 네, 눈구름띠가 이곳 제주부터 충청, 전남 서부지역을 중심으로 걸쳐 있는데요. 이틀째 눈보라가... [경찰관계자] &quot;눈길에 미끄러지며 건물 외벽을 충격한 단독 사고입니다. 운전자 음주 여부 등 정확한 사고... "
태양광 설치 계약금 175억 챙긴 일당 검거,http://www.kwangju.co.kr/article.php?aid=1671361200746790006,전남경찰청 반부패경제범죄수사1대는 해남·고흥 등 전남지역 농민 300여명을 포함해 전국 농민 854명에게 태양광시설 설치 계약금을 받아 챙긴 일당의 총책 A씨 등 31명을 특정경제범죄가중처벌 등에 관한 법률 위반... 
&quot;태양광 설치하면 年3천만원 수익&quot; 노인들 속여 175억 가로챘다,https://n.news.naver.com/mnews/article/008/0004830287?sid=102,전남경찰청 태양광발전시설 설치계약금 175억원을 가로챈 혐의 등으로 총책 40대 A씨 등 31명을 검거하고 그 중 13명을 구속 송치했다고 18일 밝혔다. A씨 일당은 지난 2020년부터 태양광시설 제조업체 유령 법인 4곳을... 
전남자치경찰위·마을공동체 협업 강화,http://www.kjdaily.com/article.php?aid=1671360015591328002,"실무협의회에선 전남도, 전남경찰청, 국토관리사무소, 도로관리사업소 등 관계자 12명이 참석한 가운데 교통·생활안전·여성청소년 분야에서 유관기관 간 협력이 필요한 6건의 안건을 협의했다. 주요 안건은 ▲시·군... "
폭설·한파 몰아친 광주·전남 교통 통제·사고 속출,http://www.kjdaily.com/article.php?aid=1671360003591327002,"/김애리 기자휴일 이틀 동안 최대 20㎝가 넘는 폭설에 한파가 몰아친 광주·전남 지역에서 각종 교통사고가... 광주시와 5개 자치구 부구청장, 소방본부와 광주경찰청 관계자들은 이날 긴급 제설을 위한 관계 기관... "
태양광발전소 계약금 175억 편취 범죄조직 검거,http://www.kjdaily.com/article.php?aid=1671360018591312005,18일 전남경찰청에 따르면 전국 농민 854명을 대상으로 유령법인을 4차례 바꿔가며 태양광발전소 설치계약금 175억을 편취한 악성사기 조직 총책 A씨 등 31명을 지난 16일 검거했다. 이중 13명은 구속 송치했다. 총책 A씨... 
"경찰, 농민 상대로 175억 원 가로챈 ‘태양광 사기단’ 검거",https://n.news.naver.com/mnews/article/020/0003468663?sid=102,전남경찰청 반부패·경제범죄수사1대는 18일 태양광발전시설 설치 계약금 175억 원을 가로챈 혐의(특정경제범죄가중처벌법상 사기)로 A 씨(44) 등 31명을 검거하고 이중 13명은 구속 송치했다고 밝혔다. 이들은 2020년부터... 
"전남자치경찰위, 4차 실무협의회 개최 ‘마을공동체와 협업’ 강화",http://www.breaknews.com/939017,"(사진) 실무협의회에선 전남도, 전남경찰청, 국토관리사무소, 도로관리사업소 등 관계자 12명이 참석한 가운데 교통․생활안전․여성청소년 분야에서 유관기관 간... "
"광주시, 과장급 이상 간부공무원 대상 4대 폭력 예방교육",http://www.breaknews.com/939022,교육은 폭력예방교육 전문강사인 김향화 경찰인재개발원 성평등정책담당... establish and enforce the ‘Safe City Gwangju’ policy.” ”he said. 원본 기사 보기:브레이크뉴스 전남
"강기정 광주시장, “시민불편 최소화 위해 제설 철저” 주문",http://www.breaknews.com/939043,"한편, 문영훈 행정부시장은 18일 오전 5개 자치구 부구청장과 경찰, 소방 합동... depending on the weather conditions on the night of the 18th. 원본 기사 보기:브레이크뉴스 전남"
[독자투고]경찰민원을 가장한 &apos;스미싱&apos; 속지 않는 게 최선의 예방책,http://www.namdonews.com/news/articleView.html?idxno=707555,김정원 전남 장흥경찰서 교통관리계 요즘 휴대전화는 개개인의 신분증처럼 보편적으로 소지하고 있다. 문제는 현대인들의 편리함과 다양함을 제공해주는 이런 휴대전화를 이용하여 보이스피싱 등 다양한 범죄가... 
골프장서 지갑 훔치고 부하 성추행까지…경찰 왜 이러나,http://www.namdonews.com/news/articleView.html?idxno=707541,"18일 광주·전남경찰청에 따르면, 나주경찰은 골프장 탈의실 사물함에서 금품을 훔친 혐의(절도)로 광주 서부경찰서 모 지구대 A경사를 입건했다. A경사는 지난 13일 낮 12시 30분께 나주시 한 골프장 탈의실 사물함에서... "
남도일보 2022사회분야 10대 뉴스 (6) 5·18 암매장 진실 첫 확인,http://www.namdonews.com/news/articleView.html?idxno=707554,"군과 경찰, 5월단체 등이 합동 감식을 벌였다. /5·18기념재단 제공 42년 간 베일에 가려있던 5·18민주화운동... ◇암매장 진실 최초 확인 해당 유골로 확인된 신원은 전남 화순에서 태어난 80년 당시 만 23살 청년... "
태양광 시설 설치 미끼 농민 등친 일당 검거,http://www.namdonews.com/news/articleView.html?idxno=707550,전남경찰청 전경 농민 수백명을 상대로 태양광 발전시설 설치를 약속 한 뒤 계약금 명목으로 거액을 가로채 달아난 일당이 경찰에 붙잡혔다. 전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기... 
"&apos;태양광 사기단&apos; 검거, 농민 상대로 175억 뜯어내…13명 검찰 송치",https://www.etoday.co.kr/news/view/2203890,18일 전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 총책 A(44)씨 등 13명을 검거해 송치했다고 밝혔다. 경찰은 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 총 31명이 같은 혐의로... 
꽁꽁 언 찻길·뱃길·하늘길… 전국 곳곳 동파·교통사고 속출,https://n.news.naver.com/mnews/article/022/0003765560?sid=102,"경찰 조사 결과 A씨는 사고 당시 음주나 신호위반을 하지는 않은 것으로 파악됐다. 이날 정오 당시 전남권 서부와 제주도, 울릉도, 독도에 대설특보가 발효상태였으며, 강원 미시령 옛길, 충남 질고개, 전남 두목재 등... "
"&quot;854명, 175억원 피해&quot;…태양광 사기단 붙잡혀",https://n.news.naver.com/mnews/article/215/0001072112?sid=102,전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 경찰에 따르면... 
폭설 내린 제주·호남 항공편 결항하고 눈 피해 속출,https://n.news.naver.com/mnews/article/422/0000575149?sid=161,"굵은 눈발이 그칠 줄 모르자, 경찰이 차량 통행을 통제합니다. &lt;현장음&gt; &quot;서귀포 갈 거죠? 서귀포는 못 가요.... 폭설로 광주 전남지역에선 빙판길 미끄러짐 사고를 비롯해 크고 작은 교통사고가 잇따른 가운데, 눈은 19일... "
농민 등친 태양광 설치 사기단 31명 검거...&apos;13명 구속&apos;,https://n.news.naver.com/mnews/article/469/0000713486?sid=102,전남경찰청 반부패·경제범죄수사1대는 &quot;태양광발전시설 설치 계약금 175억 원을 가로챈 혐의(특정경제범죄가중처벌법상 사기)로 A씨 등 13명을 구속해 검찰에 송치했다&quot;고 18일 밝혔다. 또 유령법인을 내세워 범죄에... 
